table,column,domain_id,domain_name
PRODUCTS,0,0,Product Information Management
PRODUCTS,1,0,Product Information Management
PRODUCTS,14,0,Product Information Management
PRODUCTS,1976,0,Product Information Management
PRODUCTS,25.99,0,Product Information Management
PRODUCTS,ACADEMY ACADEMY,0,Product Information Management
PRODUCTS,PENELOPE GUINESS,0,Product Information Management
prod_df,0,0,Product Information Management
prod_df,1,0,Product Information Management
prod_df,14,0,Product Information Management
prod_df,1976,0,Product Information Management
prod_df,25.99,0,Product Information Management
prod_df,ACADEMY ACADEMY,0,Product Information Management
prod_df,PENELOPE GUINESS,0,Product Information Management
ORDERLINES,1,1,Order Data Management
ORDERLINES,1.1,1,Order Data Management
ORDERLINES,1.2,1,Order Data Management
ORDERLINES,10001,1,Order Data Management
ORDERLINES,1001,1,Order Data Management
ORDERLINES,11001,1,Order Data Management
ORDERLINES,1376,1,Order Data Management
ORDERLINES,1697,1,Order Data Management
ORDERLINES,2,1,Order Data Management
ORDERLINES,2001,1,Order Data Management
ORDERLINES,2009/01/27,1,Order Data Management
ORDERLINES,2009/02/07,1,Order Data Management
ORDERLINES,2009/03/04,1,Order Data Management
ORDERLINES,2009/04/30,1,Order Data Management
ORDERLINES,2009/05/12,1,Order Data Management
ORDERLINES,2009/06/08,1,Order Data Management
ORDERLINES,2009/07/04,1,Order Data Management
ORDERLINES,2009/08/16,1,Order Data Management
ORDERLINES,2009/09/12,1,Order Data Management
ORDERLINES,2009/10/24,1,Order Data Management
ORDERLINES,2009/11/19,1,Order Data Management
ORDERLINES,2009/12/16,1,Order Data Management
ORDERLINES,3,1,Order Data Management
ORDERLINES,3001,1,Order Data Management
ORDERLINES,306,1,Order Data Management
ORDERLINES,4001,1,Order Data Management
ORDERLINES,4380,1,Order Data Management
ORDERLINES,5001,1,Order Data Management
ORDERLINES,5549,1,Order Data Management
ORDERLINES,5853,1,Order Data Management
ORDERLINES,6001,1,Order Data Management
ORDERLINES,6079,1,Order Data Management
ORDERLINES,6941,1,Order Data Management
ORDERLINES,7001,1,Order Data Management
ORDERLINES,7259,1,Order Data Management
ORDERLINES,8001,1,Order Data Management
ORDERLINES,9001,1,Order Data Management
ORDERLINES,9117,1,Order Data Management
ORDERLINES,9702,1,Order Data Management
ORDERLINES,9972,1,Order Data Management
ORDERS,0.69,1,Order Data Management
ORDERS,1,1,Order Data Management
